AppID,Name,Release date,Estimated owners,Peak CCU,Required age,Price,DLC count,About the game,Supported languages,Full audio languages,Reviews,Header image,Website,Support url,Support email,Windows,Mac,Linux,Metacritic score,Metacritic url,User score,Positive,Negative,Score rank,Achievements,Recommendations,Notes,Average playtime forever,Average playtime two weeks,Median playtime forever,Median playtime two weeks,Developers,Publishers,Categories,Genres,Tags,Screenshots,Movies
1387200,"Covert Commando","Dec 25, 2020","0 - 20000",0,0,0.0,0,"Deploy deep behind enemy lines, assassinate bosses and save hostages in this 80s inspired, no frills, pick up and play for 5 minutes, arcade action game! Featuring: * Procedurally generated levels - no 2 maps are the same. * A range of modern weapons * Upgrades for you * Upgrades for the enemies! * Permadeath","['English']","[]","","https://cdn.akamai.steamstatic.com/steam/apps/1387200/header.jpg?t=1609008974","http://fourpixelsgames.com/homepage/index.html","http://fourpixelsgames.com/homepage/index.html","fourpixelsgames@gmail.com",True,True,False,0,"",0,5,1,"",0,0,"",0,0,0,0,"Four Pixels","Four Pixels","Single-player","Action,Casual,Indie","Action,Casual,Arcade,Rogue-like,Shooter,Action Roguelike,Looter Shooter,Shoot 'Em Up,Twin Stick Shooter,Top-Down Shooter,2.5D,Top-Down,Cartoony,Third Person,War,Military,Assassin,Combat,Character Customization,Perma Death","https://cdn.akamai.steamstatic.com/steam/apps/1387200/ss_171379df7660bde970a0d2f73ed902581ab4b8ea.1920x1080.jpg?t=1609008974,https://cdn.akamai.steamstatic.com/steam/apps/1387200/ss_48f3c1a90158988e511c0201e1e40bedff2d3bb6.1920x1080.jpg?t=1609008974,https://cdn.akamai.steamstatic.com/steam/apps/1387200/ss_96ef346d00a9caf422b0001de398c274303a27d2.1920x1080.jpg?t=1609008974,https://cdn.akamai.steamstatic.com/steam/apps/1387200/ss_a5edf21f6b01bc12c680f16721730c5f8ad194ad.1920x1080.jpg?t=1609008974,https://cdn.akamai.steamstatic.com/steam/apps/1387200/ss_1830a4f5d8f2ae90c6b2ba01f6da21317d3d552b.1920x1080.jpg?t=1609008974,https://cdn.akamai.steamstatic.com/steam/apps/1387200/ss_297d465f0cae24ba79fde4aca1dbb5d2fe5cadf2.1920x1080.jpg?t=1609008974","http://cdn.akamai.steamstatic.com/steam/apps/256816461/movie_max.mp4?t=1608927691"
797340,"Fantasy Mosaics 24: Deserted Island","Mar 11, 2018","0 - 20000",0,0,6.99,0,"The penguins are heading to explore a deserted tropical island and make new discoveries! The island inhabitants are interactive and waiting for you to play with them! Enjoy the new challenges of this exciting installment of Fantasy Mosaics and help the penguins explore the island! - Colorful mosaic puzzles - Interactive island creatures - Explore the deserted island - Puzzles based on logic","['English']","[]","","https://cdn.akamai.steamstatic.com/steam/apps/797340/header.jpg?t=1520832090","http://www.matchgems.com","http://www.matchgems.com","andyforsaken@yahoo.com",True,False,False,0,"",0,5,0,"",0,0,"",0,0,0,0,"Andy Jurko","Andy Jurko","Single-player","Casual,Indie,Strategy","Casual,Strategy,Indie","https://cdn.akamai.steamstatic.com/steam/apps/797340/ss_c472cc794c3508afcbd7bb272321ee9f29e196ae.1920x1080.jpg?t=1520832090,https://cdn.akamai.steamstatic.com/steam/apps/797340/ss_72bea87755cf92b34964cf2938e3da394db8ad6f.1920x1080.jpg?t=1520832090,https://cdn.akamai.steamstatic.com/steam/apps/797340/ss_e5c6d231a6e7b7835b41e5f8ddde0559889e09dd.1920x1080.jpg?t=1520832090,https://cdn.akamai.steamstatic.com/steam/apps/797340/ss_13f0bf474b80f7cd355875882525bcda17a5df9b.1920x1080.jpg?t=1520832090,https://cdn.akamai.steamstatic.com/steam/apps/797340/ss_c59b6a40bc37a4001840b800cff9caad3e757457.1920x1080.jpg?t=1520832090","http://cdn.akamai.steamstatic.com/steam/apps/256707303/movie_max.mp4?t=1517459851"
974530,"Draft Day Sports: Pro Football 2019","Nov 21, 2018","0 - 20000",0,0,19.99,0,"Draft Day Sports: Pro Football 2019 puts you in control of your favorite pro football franchise. You make the calls as you build your dynasty – build your roster through trades, the draft, and free agency. Analyze the impressive array of data to determine how to put together your own custom playbook and strategies to lead your team to victory. Watch the action unfold in dramatic 2D fashion where you can take control of the play calling and watch your calls play out in front of you. Play by yourself against a challenging AI or join an online multiplayer league and see if you have what it takes to outmanage your fellow gamers.","['English']","[]","","https://cdn.akamai.steamstatic.com/steam/apps/974530/header.jpg?t=1542813185","http://www.wolverinestudios.com","http://www.wolverinestudios.com/support/","",True,False,False,0,"",0,4,3,"",0,0,"",0,0,0,0,"Wolverine Studios","Wolverine Studios","Single-player","Indie,Simulation,Sports,Strategy","Sports,Simulation,Strategy,Indie","https://cdn.akamai.steamstatic.com/steam/apps/974530/ss_002290cf7fb674757c79bd4fedfab6f6dc3e4278.1920x1080.jpg?t=1542813185,https://cdn.akamai.steamstatic.com/steam/apps/974530/ss_6c17adc65cd0753f42b7447e9a4259682620e444.1920x1080.jpg?t=1542813185,https://cdn.akamai.steamstatic.com/steam/apps/974530/ss_df079b22f453c290d629d4e639388fb62c45bd18.1920x1080.jpg?t=1542813185,https://cdn.akamai.steamstatic.com/steam/apps/974530/ss_240db0cee3ec6b889055883e015a48c694ac7fd6.1920x1080.jpg?t=1542813185,https://cdn.akamai.steamstatic.com/steam/apps/974530/ss_825bd6bddc51a4c6afe4e4d2fadab5d1bf70d9d2.1920x1080.jpg?t=1542813185,https://cdn.akamai.steamstatic.com/steam/apps/974530/ss_52db3ed39c691eb38a5db5547eeff5ae55d12141.1920x1080.jpg?t=1542813185,https://cdn.akamai.steamstatic.com/steam/apps/974530/ss_4c6ca1c51e1c4be5cbdab9249e16cbdac691b58b.1920x1080.jpg?t=1542813185","http://cdn.akamai.steamstatic.com/steam/apps/256733747/movie_max.mp4?t=1541644680"
1357830,"Arcana: Heat and Cold. Season 1","Oct 6, 2020","0 - 20000",1,0,4.99,0,"Message from the developer: Well, no more screwing around. It's time for the full NSFW game! There are two descriptions waiting for you down below. One is short, and the other one contains all the interesting details. I hope you’ll enjoy our (PixelGreeds + HarDDeer) game! Inspired by anime like 'Golden Boy', I decided to make a game about a bad magician, but a good person, who by the will of fate gets into different funny and sometimes dangerous situations. You're a Spellbreaker. And in order to 'break' the Arcane fever, you have to understand its cause. To do that, you need to get all the information you can, study the area, and find the right approach to a patient. Duration: The average duration of Season 1 is around 4-5 hours. My goal was to make the game packaged with maximum content, and at the same time to avoid artificially stretching the gameplay, by NOT including such things as: grind, pixel hunting, rare CGIs, etc. You play as an unskilled magician who helps people curing them from the mysterious and dangerous 'Arcane fever'. Unlike other 'Spellbreakers', you do not know how to feel magic, so your approach is a little different from the traditional. On your journey you'll come across a lot of different girls with their unique personalities, problems, wishes and fetishes. In any endeavor, it is important to understand when to be calm, gentle and neat, and when to be assertive, confident, and even a little aggressive. The right choice of runes will allow you to succeed not only in magic, but also in love. ;) -Comics/manga style. H-scenes are an interactive comic book that requires using runes and different items. -Girls 70+ unique panels. And 150+ total CGIs. -Dialogues: The text and the story are very important parts of the game. You'll have to properly asses the situation and choose the right solution. Characters depicted in this game are 21 years of age or older.","['English', 'Russian', 'Polish']","[]","","https://cdn.akamai.steamstatic.com/steam/apps/1357830/header.jpg?t=1634205399","","","pixelgreedssup@yandex.com",True,False,False,0,"",0,0,0,"",18,148,"Anime girls and hentai scenes. Characters depicted in this game are 21 years of age or older",51,0,51,0,"PixelGreeds,HarDDeer","PixelGreeds","Single-player,Steam Achievements,Steam Trading Cards,Steam Cloud","Adventure,Casual","","https://cdn.akamai.steamstatic.com/steam/apps/1357830/ss_21e2c55ed277b7744156276fa5400a6ba3175ea8.1920x1080.jpg?t=1634205399,https://cdn.akamai.steamstatic.com/steam/apps/1357830/ss_c331a9ed302061738f79c883a31a9064fbfedb73.1920x1080.jpg?t=1634205399,https://cdn.akamai.steamstatic.com/steam/apps/1357830/ss_2942eb038959456c74a9e38421591fd7acdaa1b1.1920x1080.jpg?t=1634205399,https://cdn.akamai.steamstatic.com/steam/apps/1357830/ss_593adac97a95515adeed8dc0ae628cff1365c551.1920x1080.jpg?t=1634205399,https://cdn.akamai.steamstatic.com/steam/apps/1357830/ss_2d06935465f35a3de5fb373a5a13dd2e152a1b66.1920x1080.jpg?t=1634205399,https://cdn.akamai.steamstatic.com/steam/apps/1357830/ss_02f1dcda14fbbe15b4d7e6eb7c3689ddc2cd7197.1920x1080.jpg?t=1634205399,https://cdn.akamai.steamstatic.com/steam/apps/1357830/ss_ccf81a2eefb1a63c50ab1bd71160a74618c10f6c.1920x1080.jpg?t=1634205399,https://cdn.akamai.steamstatic.com/steam/apps/1357830/ss_9fde4451216d546e001c9250c533e9d23abc6e25.1920x1080.jpg?t=1634205399,https://cdn.akamai.steamstatic.com/steam/apps/1357830/ss_0b4d803508a9f0d658cb86d64f90efa3e734b540.1920x1080.jpg?t=1634205399,https://cdn.akamai.steamstatic.com/steam/apps/1357830/ss_374f7a058b5c58d65438221f42cb744738d1d447.1920x1080.jpg?t=1634205399,https://cdn.akamai.steamstatic.com/steam/apps/1357830/ss_58452ba43b99ce144e22119b3a5ec4678dc57415.1920x1080.jpg?t=1634205399,https://cdn.akamai.steamstatic.com/steam/apps/1357830/ss_c90af4b9360211212c906166db6f8ecb7caed955.1920x1080.jpg?t=1634205399,https://cdn.akamai.steamstatic.com/steam/apps/1357830/ss_4aa840c89b748f2da66c6970d065cf37378442ab.1920x1080.jpg?t=1634205399,https://cdn.akamai.steamstatic.com/steam/apps/1357830/ss_57bfe8f23de78e21f64f33bbfcdef2b51d2aa610.1920x1080.jpg?t=1634205399,https://cdn.akamai.steamstatic.com/steam/apps/1357830/ss_3404df19fc16c071f817ef0444047682624b29bc.1920x1080.jpg?t=1634205399,https://cdn.akamai.steamstatic.com/steam/apps/1357830/ss_35f4b26e98480371280e2f54ff935d6f33f5624a.1920x1080.jpg?t=1634205399,https://cdn.akamai.steamstatic.com/steam/apps/1357830/ss_1c7605c1cba338d7e40f443d98afb1d1eab645ba.1920x1080.jpg?t=1634205399,https://cdn.akamai.steamstatic.com/steam/apps/1357830/ss_23650809ba40ab6f591427cfdc5a2f1fa247e723.1920x1080.jpg?t=1634205399","http://cdn.akamai.steamstatic.com/steam/apps/256791111/movie_max.mp4?t=1594089912"
453880,"Ninja Outbreak","Mar 30, 2016","0 - 20000",0,0,9.99,0,"In a Soviet Laboratory on Venus, a secret super-soldier program has gone horribly wrong. Subjects gained super-human strength and reflexes, but became irrationally violent. What's worse, those the subjects attacked began showing the same symptoms. These beings, dubbed 'Ninja,' have now overrun the facility. The laboratory has gone into lockdown. You play as a lone scientist who must find a way to escape from the Ninja Outbreak. Features - Scarcity of Resources: Ammo is scarce, and sometimes your best option will be to run. - Risk and Reward: Do you go for that extra bit of ammo, or that key that will open a shortcut, when you know there's a Ninja just around the corner? - Weapon Variety: In addition to basic weapons such as the pistol and shotgun, you can find experimental weapons being developed at the laboratory. - Exploration: How much of the game world you explore is up to you. Do you delve deeper into the laboratory searching for weapons and resources, or do you head straight to the North Lab to take on the Master Ninja? - Many enemy types: You will face off against many varieties of Ninja as well as dangerous Venusian lifeforms. Some ninja will sabotage your environment, some will steal items, and some will follow you from a distance before jumping in for a precise strike. -Betray the Ninja Empire: Ninja is supreme and you have double-crossed it! Why did you do that?","['English']","[]","“There comes a time early in the game, when you have to take one out to get a certain keycard, and even though it appeared not to notice me approaching it from behind with my wrench, in that moment I felt as much tension as I’ve ever felt in a game. Ninja Outbreak has lots of those kinds of moments” GameJolt Fireside","https://cdn.akamai.steamstatic.com/steam/apps/453880/header.jpg?t=1613070466","http://renegadesector.com/","http://renegadesector.com/contact/","",True,True,False,0,"",0,4,3,"",6,0,"",0,0,0,0,"Renegade Sector Games","Renegade Sector Games","Single-player,Steam Achievements,Steam Trading Cards","Action,Adventure,Indie","Action,Adventure,Indie,Pixel Graphics,Metroidvania,Horror,Retro,Ninja,Exploration,2D,Top-Down,Survival Horror","https://cdn.akamai.steamstatic.com/steam/apps/453880/ss_66f36254d0140a1e8e75e816f77f6ccbb3289e3e.1920x1080.jpg?t=1613070466,https://cdn.akamai.steamstatic.com/steam/apps/453880/ss_91b5b831ec372757b9e44968f2c23648ddbb6039.1920x1080.jpg?t=1613070466,https://cdn.akamai.steamstatic.com/steam/apps/453880/ss_3d2fdf62440e0e27f811f39d0a6a89de0604b0f7.1920x1080.jpg?t=1613070466,https://cdn.akamai.steamstatic.com/steam/apps/453880/ss_ac5166d0e394a1f4229d5f733774ecbaccff142a.1920x1080.jpg?t=1613070466,https://cdn.akamai.steamstatic.com/steam/apps/453880/ss_db5e2cbf9376dac0075c9d5771dc21f1d63919fb.1920x1080.jpg?t=1613070466","http://cdn.akamai.steamstatic.com/steam/apps/256661710/movie_max.mp4?t=1458176999,http://cdn.akamai.steamstatic.com/steam/apps/256661750/movie_max.mp4?t=1458177010"
15620,"Warhammer 40,000: Dawn of War II","Feb 18, 2009","2000000 - 5000000",218,17,19.99,0,"Developed by award winning studio Relic Entertainment, Dawn of War II ushers in a new chapter in the acclaimed RTS series – taking players to the brutal frontlines of war to lead an Elite Strike Force on a mission to save the galaxy. It’s the 41st Millennium in the Sub-Sector Aurelia – a cluster of worlds on the edge of the galaxy – where a battle of epic proportions is about to commence. Ancient races will clash across the planets that dot this sector of space, battling for the greatest of stakes – not only for control of Sub-Sector Aurelia – but the fate of each race. With a focus on fast-action RTS gameplay, Dawn of War II brings to life the science fiction universe of Warhammer 40,000 like never before. Experience the intimate brutality of battle as you play through your chosen race’s epic campaign. Clash with the enemies on battlefield ablaze with visceral melee and ranged combat. Lead and develop your squads from raw recruits into the most battle hardened veterans in the galaxy. Also included is The Last Stand, a co-operative game mode featuring user controlled heroes fighting waves of enemies. Brutal Frontline Action &amp; Tactics Get straight into the action to experience intense melee and devastating ranged combat. Use vicious melee sync-kills to obliterate your enemies. Outsmart your opponents using dynamic and destructible environments to suppress, flank and destroy your foes. Non-Linear Single Player Campaign Command an elite strike force, developing the skills and abilities of your squads and commander as you progress through the game. Co-Op Multiplayer Play through the entire single player campaign co-operatively with a friend, at any point in the game, anytime. Next Generation RTS Engine Utilizing Relic's proprietary Essence Engine 2.0 Dawn of War II delivers cinematic visuals, detailed graphics and amazing special effects.","['English', 'French', 'German', 'Italian', 'Spanish - Spain']","[]","","https://cdn.akamai.steamstatic.com/steam/apps/15620/header.jpg?t=1632305419","http://www.dawnofwar.com/","http://www.sega.com/support","",True,True,True,85,"https://www.metacritic.com/game/pc/warhammer-40000-dawn-of-war-ii?ftag=MCD-06-10aaa1f",0,9013,1090,"",73,5396,"",1483,3,478,3,"Relic Entertainment,Feral Interactive (Mac/Linux)","SEGA,Feral Interactive (Mac/Linux)","Single-player,Multi-player,Co-op,Steam Trading Cards,Steam Cloud","Strategy","Warhammer 40K,Strategy,RTS,Sci-fi,Multiplayer,Games Workshop,Tactical,Singleplayer,Co-op,Futuristic,Gore,Online Co-Op,RPG,Real-Time,Action,Co-op Campaign,Fantasy,Great Soundtrack,Atmospheric,Story Rich","https://cdn.akamai.steamstatic.com/steam/apps/15620/ss_bff13558d11fc776b06c20771627b60ce01429c1.1920x1080.jpg?t=1632305419,https://cdn.akamai.steamstatic.com/steam/apps/15620/ss_f63fbe75afa2cef7530666a91717b2290fcaf26f.1920x1080.jpg?t=1632305419,https://cdn.akamai.steamstatic.com/steam/apps/15620/ss_0b1b27fc0e1ec7c1ffb72d5cefa2ddb33ec5cbdc.1920x1080.jpg?t=1632305419,https://cdn.akamai.steamstatic.com/steam/apps/15620/ss_e1bb0dd6a434816032d5d95969b7a502989e95b2.1920x1080.jpg?t=1632305419,https://cdn.akamai.steamstatic.com/steam/apps/15620/ss_a42253522436151ce21a90cae55ad4a845cbff01.1920x1080.jpg?t=1632305419,https://cdn.akamai.steamstatic.com/steam/apps/15620/ss_fdcf114aaa89aa67998f6bc42a57a92fdf5cfc9a.1920x1080.jpg?t=1632305419,https://cdn.akamai.steamstatic.com/steam/apps/15620/ss_9d617f123743a07c374eaa71196630662a15d8a7.1920x1080.jpg?t=1632305419,https://cdn.akamai.steamstatic.com/steam/apps/15620/ss_fef192cecf11f7cc02d8b43ca374d2857da112c1.1920x1080.jpg?t=1632305419,https://cdn.akamai.steamstatic.com/steam/apps/15620/ss_deb46822f8c5349c25a7e52879f3a323a742b2c1.1920x1080.jpg?t=1632305419","http://cdn.akamai.steamstatic.com/steam/apps/2040628/movie_max.mp4?t=1447376998"
352530,"Poppy Kart","Oct 9, 2015","0 - 20000",0,13,4.99,1,"Poppy kart is a funny karting game in a pixelated world. Mario Kart fans (SMK-Super Nintendo) will love the world of Poppy Kart. The story: Froggy, the Daddy Crapo's daughter ran away. You must collect totems to find her. Here is what you have to do to unlock the races: - Collect totems placed on the road - Collect coins - Finish at least 4th Travel, fight and drive as fast as you can on 29 handcrafted crazy races. You can unlock 7 characters by completing the bonus races. Help yourself by using weapons and finding the shortcuts. Enjoy the retro soundtrack.","['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Portuguese - Brazil']","['English', 'Portuguese - Brazil']","","https://cdn.akamai.steamstatic.com/steam/apps/352530/header.jpg?t=1447369753","http://apps.webrox.fr/?page_id=8Change","http://www.webrox.fr/Contacter-Webrox-Questions-Demandes.aspx","contact@webrox.fr",True,False,False,0,"",0,8,4,"",0,0,"",0,0,0,0,"Stephane Graziano,Franck Graziano,Mathieu Lamarche","Webrox","Single-player,Full controller support","Indie,Racing","Racing,Indie","https://cdn.akamai.steamstatic.com/steam/apps/352530/ss_4c741fe96bf1eb673e3ec1d9310abc7b585ef547.1920x1080.jpg?t=1447369753,https://cdn.akamai.steamstatic.com/steam/apps/352530/ss_2e1ad2761c590a17126feb75497935e7d0e552c3.1920x1080.jpg?t=1447369753,https://cdn.akamai.steamstatic.com/steam/apps/352530/ss_24067ba3d82002620a90028de7ee6a8bbc4d4c17.1920x1080.jpg?t=1447369753,https://cdn.akamai.steamstatic.com/steam/apps/352530/ss_344ebe380905725dca95ad97e5eba3fb14bdd6a1.1920x1080.jpg?t=1447369753,https://cdn.akamai.steamstatic.com/steam/apps/352530/ss_63349e6576fa9c0502f17f1ae02a632721db8e6d.1920x1080.jpg?t=1447369753,https://cdn.akamai.steamstatic.com/steam/apps/352530/ss_3e1e7834d6812cc1e87f9241bcda4841191935e9.1920x1080.jpg?t=1447369753","http://cdn.akamai.steamstatic.com/steam/apps/256656573/movie_max.mp4?t=1447378167"
577580,"Gladiator: Sword of Vengeance","Jan 31, 2017","0 - 20000",0,0,7.99,0,"In the Year 106 AD the Roman Empire is in terrible decline. After the untimely death of the much-loved Emperor Trajan, the despotic Emperor Arruntius has bled the once powerful Rome to its knees. Poorly fought wars, famine, and plague are rife in all corners of the Empire, whilst the Emperor and his elite enjoy every excess and vice that the emptying coffers can afford. As herald to this age of degeneration, Arruntius has destroyed large portions of the city of Rome to create the battleground for the bloodiest gladiator event ever staged… Features: - An epic cinematic adventure ranging from the streets of Rome to the paradise of Elysium. Weapons: - Use authentic weaponry on your foes! Combat: - Huge variety of opponents – from brutal guardsmen to mythical creatures. - Intuitive ‘in context’ fighting style incorporating an advanced multiple-opponent combat system. - Gain experience through combat! – the more you kill, the more abilities you learn. - Finish him! – When stunned, your enemy is open to a specialized and gory display of battle. - Combo attacks – produce spectacular sequences and gorier deaths. The more fantastic the kill, the higher the Blood Meter rises. Power-ups: - Olympian talents – When the Blood Meter is full, increase your strength to Herculean proportions, raise the dead to fight alongside you, and unleash the power of the elements!","['English', 'French', 'Italian', 'German', 'Spanish - Spain']","['English', 'French', 'Italian', 'German', 'Spanish - Spain']","“Dismember the past with Acclaim's gory sleeper surprise.” 8.0 – IGN “The graphics and sound are of great quality” 7.1 – Gamespot “Definitely worth a pickup from casual and hardcore action fans alike” PSM","https://cdn.akamai.steamstatic.com/steam/apps/577580/header.jpg?t=1614372472","http://throwbackentertainment.com/gladiator-sword-of-vengeance/","http://www.throwbackentertainment.com","techsupport@throwbackcorp.com",True,False,False,69,"https://www.metacritic.com/game/pc/gladiator-sword-of-vengeance?ftag=MCD-06-10aaa1f",0,32,14,"",17,0,"",0,0,0,0,"Throwback Entertainment","Throwback Entertainment","Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud,Stats","Action,Adventure","Adventure,Action,Hack and Slash,Gore,Violent,Classic,Historical,Singleplayer,Cinematic,Fantasy,Story Rich,Great Soundtrack,Magic,Alternate History,Mythology","https://cdn.akamai.steamstatic.com/steam/apps/577580/ss_905ace948ec664be14e9654afcf10c8ad5546b31.1920x1080.jpg?t=1614372472,https://cdn.akamai.steamstatic.com/steam/apps/577580/ss_d6b4bf376bb1850ac24286a6d83e7b758c6ea801.1920x1080.jpg?t=1614372472,https://cdn.akamai.steamstatic.com/steam/apps/577580/ss_fa3d51b69fbdb3bbb866793bfe01298ea3d3a932.1920x1080.jpg?t=1614372472,https://cdn.akamai.steamstatic.com/steam/apps/577580/ss_147308e693b234e61918f44781184c7bf5b0fa82.1920x1080.jpg?t=1614372472,https://cdn.akamai.steamstatic.com/steam/apps/577580/ss_62bbe614c05b4dcf7da21eec8a6d0b5d68090856.1920x1080.jpg?t=1614372472,https://cdn.akamai.steamstatic.com/steam/apps/577580/ss_9b31c17c6e46f56a9fbcb88e39e63d1e4c82d61e.1920x1080.jpg?t=1614372472","http://cdn.akamai.steamstatic.com/steam/apps/256678522/movie_max.mp4?t=1485543733"
652780,"The Mutational","Feb 10, 2020","0 - 20000",0,0,0.0,1,"Fight your way through the endless waves of enemies with the weapon of your choice. Build all kinds of turrets, drones, traps and barricades to survive as long as possible. Unlock new perks and take the top positions on the world leaderboard. Multiplayer Each level can be played online with your friends (up to 4 people) or with a random person with our matchmaking system. In the CO-OP mode you try to survive as long as possible with your teammate(s). Together nothing will stop you! Building With the money you earn during a game you can build a huge amount defensive buildings against the enemies attacking you, such as: - Turrets - Shields - Mines - Barricades - Drones - Traps Perks After completing a level you unlock one or more perks that can be equipped for next that you play a game. There are over 20 perks available to choose from, each one adding a unique twist to the game.","['English']","[]","“This is the best game i ever played, i sold my studio for 3 pizza's to this guy.” 11/10 – R. Studios “I will definitely not delete this game from my library.” 9.5/10 – Lapo “I would probably stop watching netflix for this game.” 8/10 – Julian B.","https://cdn.akamai.steamstatic.com/steam/apps/652780/header.jpg?t=1634921151","","http://dinjastudios.com/","contact@dinjastudios.com",True,False,False,0,"",0,18,4,"",5,0,"Contains blood and violence.",0,0,0,0,"DinjaStudios","DinjaStudios","Single-player,Multi-player,Co-op,Online Co-op,Steam Achievements","Action,Adventure,Casual,Free to Play,Indie,Strategy","Free to Play,Strategy,Action,Indie,Casual,Adventure,Co-op,Blood,Tower Defense","https://cdn.akamai.steamstatic.com/steam/apps/652780/ss_6be92ccf0e85fa5c23c26ec15643b6bba5663303.1920x1080.jpg?t=1634921151,https://cdn.akamai.steamstatic.com/steam/apps/652780/ss_ba2a8f4166fbcf09104022743d0a7b96d17be108.1920x1080.jpg?t=1634921151,https://cdn.akamai.steamstatic.com/steam/apps/652780/ss_c40c12c3beb07f4db7d05a00199c1875654f209e.1920x1080.jpg?t=1634921151,https://cdn.akamai.steamstatic.com/steam/apps/652780/ss_a6193de29ddc78684104328c45c28816138d2c27.1920x1080.jpg?t=1634921151,https://cdn.akamai.steamstatic.com/steam/apps/652780/ss_cb3c38f5008adc791eedb7ecee30ba008dfc9d4e.1920x1080.jpg?t=1634921151","http://cdn.akamai.steamstatic.com/steam/apps/256771607/movie_max.mp4?t=1578255315"
776000,"Choice of the Vampire","Feb 9, 2018","0 - 20000",0,0,5.99,2,"Slake your thirst, without becoming a monster! Blessed with the blood-soaked gift of immortality, will you tend the flock of humanity—or twist it to your whims? When a brash young country butts heads with a brash young vampire, who will come out ahead? Choice of the Vampire is an epic, four-volume, 850,000-word interactive novel, by Jason Stevan Hill. It's entirely text-based, without graphics or sound effects, and fueled by the vast, unstoppable power of your imagination. Begin your vampiric journey in Volume One, The Battle of New Orleans , set in antebellum Louisiana, where your reputation is only as good as your skill with a sword or dueling pistol. Volume Two, The Siege of Vicksburg, continues into the Civil War, at the site of one of the war's most grueling and decisive battles. When a strange vampire seeks to disrupt the Confederate defenses, will you help him, hinder him, or consume him? In Volume Three, The Fall of Memphis (available as DLC) you find yourself in Memphis, as ex-Confederates loot the public coffers and dismantle the advances of Reconstruction. In Volume Four, St. Louis, Unreal City (now available as DLC), explore the 1904 World's Fair, which promises to be the party of the century. As your character concludes their first century of unlife, they must navigate the waters of industrialization and urbanization. The excesses of capital and rapid industrialization is producing a new class of educated, militant workers who are ready and willing to stand up to the nation's elite. Meanwhile, the vestiges of the Confederacy systematically dismantle Reconstruction, while simultaneously pitting European immigrants against the Chinese and the formerly enslaved. And yet, national figures such as JP Morgan and Jay Gould are forcing their will upon St. Louis all the way from New York. Still, the vampires of the Society must adapt and thrive, caught between centuries of experience and the rapidly changing world around them—a world that would destroy them utterly if they were to be revealed. When one of their number permanently gives into their Beast and begins hunting other vampires, the Society of North America are thrust into disarray, and you must decide what is worth dying for. Play as male or female; gay, straight, or pan; cis or trans. Exploit the domains of humanity: become a patron of the arts, an advocate of the temperance movement, an underworld boss, an investor in industry, or a visionary of the world of the unseen. Choose your prey: gamblers, artists, financiers, or workers. Hold your head up high and feed only from animals—or drink the heartsblood of your fellow vampires with gusto. Survive the machinations of your fellow vampires, the malice of the mortals you have wronged, and the hunters who want to see your kind destroyed. Unravel the mysteries of vampirekind. Meet famous historical figures—and drink their blood. Can the American Republic satiate you, or will you drain it dry?","['English']","[]","","https://cdn.akamai.steamstatic.com/steam/apps/776000/header.jpg?t=1604023847","https://www.choiceofgames.com/","https://www.choiceofgames.com/contact-us/","support-vampire-steam@choiceofgames.com",True,True,True,0,"",0,20,14,"",80,0,"This game is about vampires. Amoral, blood-sucking, exploitative, manipulative, murdering, self-destructive vampires. What's more, it's about the history of the United States and all the horrors that entails.",0,0,0,0,"Choice of Games","Choice of Games","Single-player,Steam Achievements,Captions available,Steam Cloud","Adventure,Indie,RPG","Adventure,RPG,Indie,Text-Based,Choose Your Own Adventure,Vampire","https://cdn.akamai.steamstatic.com/steam/apps/776000/ss_8dbeb0dea26c8cff760ba60c58c30b20d4ba78a6.1920x1080.jpg?t=1604023847,https://cdn.akamai.steamstatic.com/steam/apps/776000/ss_72740b5c5fa3714d16df07fe5763b9d5985aecf2.1920x1080.jpg?t=1604023847,https://cdn.akamai.steamstatic.com/steam/apps/776000/ss_5ddc1c4e7f12668c3e9446350e93b70276d44018.1920x1080.jpg?t=1604023847,https://cdn.akamai.steamstatic.com/steam/apps/776000/ss_779417bb7f0ffa39e0fd8bf0329bd698db59c3c1.1920x1080.jpg?t=1604023847,https://cdn.akamai.steamstatic.com/steam/apps/776000/ss_4967b3927a6eb60054f9f58a687f08abf607b513.1920x1080.jpg?t=1604023847",""
